3M India,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42
8K Miles Soft,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/8kmilessoftwareservices/PMS01
Aarti Ind,http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
Aban Offshore,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04
ABB India,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB
Abbott India,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51
ACC,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06
Adani Enterpris,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
Adani Ports,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS
Adani Power,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11
Adani Trans,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22
Aditya Birla F,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR
Advanced Enzyme,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET
Aegis Logistics,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
AIA Engineering,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
Ajanta Pharma,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
Akzo Nobel,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
Alembic Pharma,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35
Alkem Lab,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
Allahabad Bank,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/allahabadbank/AB15
Allcargo,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02
Amara Raja Batt,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB
Ambuja Cements,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18
Andhra Bank,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/andhrabank/AB14
Apar Ind,http://www.moneycontrol.com/india/stockpricequote/electricequipment/aparindustries/AI40
APL Apollo,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09
Apollo Hospital,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE
Apollo Tyres,http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14
Arvind,http://www.moneycontrol.com/india/stockpricequote/textilesdenim/arvind/A18
Asahi India,http://www.moneycontrol.com/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01
Ashok Leyland,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL
Ashoka Buildcon,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB
Asian Paints,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
Astra Microwave,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01
Astral Poly Tec,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02
AstraZeneca,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP
Atul,http://www.moneycontrol.com/india/stockpricequote/dyespigments/atul/A06
Aurobindo Pharm,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
Avanti Feeds,http://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21
Avenue Supermar,http://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19
Axis Bank,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16
Bajaj Auto,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10
Bajaj Corp,http://www.moneycontrol.com/india/stockpricequote/personalcare/bajajcorp/BC02
Bajaj Electric,http://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE
Bajaj Finance,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF
Bajaj Finserv,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04
Bajaj Hind,http://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthan/BH06
Bajaj Holdings,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI
Balkrishna Ind,http://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03
Balmer Lawrie,http://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC
Balrampur Chini,http://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM
Bank of Baroda,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofbaroda/BOB
Bank of India,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofindia/BOI
